Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1854.0,OUT049
FDW14,1575.0,OUT017
NCN55,1891.5,OUT010
FDQ58,2605.0,OUT017
FDY38,5175.5,OUT027
FDH56,1922.5,OUT046
FDL48,595.0,OUT018
FDC48,2775.5,OUT027
FDN33,1508.5,OUT045
FDA36,3075.0,OUT017
FDT44,1993.0,OUT017
FDQ56,1304.5,OUT045
NCC54,1851.5,OUT019
FDU11,2042.0,OUT049
DRL59,887.0,OUT013
FDM24,2554.0,OUT049
FDI57,3090.5,OUT045
DRC12,2767.0,OUT018
NCM42,3188.5,OUT027
FDA46,1135.5,OUT010
FDA31,2793.0,OUT013
NCJ31,3877.0,OUT035
FDG52,814.5,OUT046
NCL19,379.5,OUT019
FDS10,3029.0,OUT035
FDX22,1451.5,OUT010
NCF19,915.0,OUT035
NCE06,2534.5,OUT046
DRC27,3854.5,OUT046
FDE21,2025.0,OUT035
NCR42,-1356.5,OUT019
FDX51,2861.0,OUT018
NCR06,428.0,OUT018
FDU31,4937.5,OUT027
FDU59,2705.0,OUT017
FDR03,4767.5,OUT027
FDS49,2757.5,OUT027
FDD48,-68.5,OUT010
NCF18,3107.0,OUT017
NCD43,3096.5,OUT027
NCD54,1989.0,OUT018
FDY19,-32.5,OUT010
NCY54,2803.0,OUT017
NCL19,2022.0,OUT018
FDP23,1535.5,OUT010
FDC26,1811.0,OUT013
FDR14,-1040.5,OUT010
NCS41,3035.0,OUT035
FDF41,4041.0,OUT035
FDU34,2010.5,OUT046
DRH11,930.5,OUT046
FDM03,1759.0,OUT013
FDS31,3045.0,OUT017
FDJ20,2087.0,OUT017
FDV44,4491.5,OUT027
FDG02,3102.0,OUT049
FDA09,2905.0,OUT013
FDT04,685.0,OUT013
FDL58,2295.5,OUT019
FDE52,1456.5,OUT045
FDW12,2503.0,OUT035
FDL51,3545.0,OUT017
NCY42,3683.5,OUT027
FDR07,1655.0,OUT017
FDN40,2372.5,OUT045
FDB35,2947.5,OUT027
FDA22,2737.0,OUT017
NCL06,4118.5,OUT046
FDI35,2913.0,OUT013
NCW42,3412.5,OUT045
NCX06,2934.0,OUT049
FDC37,3191.5,OUT027
FDZ14,1725.0,OUT018
DRG49,3948.0,OUT049
NCG06,3960.5,OUT045
DRC36,2724.5,OUT045
FDV21,59.5,OUT019
FDB53,2366.5,OUT046
DRP47,2047.5,OUT019
FDA14,2349.0,OUT013
DRC24,2573.0,OUT035
FDW21,1413.0,OUT018
NCH29,1564.5,OUT046
FDU58,3073.0,OUT013
FDY27,2941.0,OUT017
FDV56,1949.0,OUT035
FDT59,3666.5,OUT046
FDB23,3634.5,OUT046
FDR49,696.5,OUT045
FDB03,1907.5,OUT010
FDN39,2618.5,OUT045
FDX02,4983.5,OUT027
FDQ16,3187.5,OUT027
FDU35,1339.0,OUT018
NCT29,1951.0,OUT013
FDZ27,838.5,OUT046
FDN57,2343.0,OUT017
FDA03,2099.0,OUT018
FDZ36,2918.5,OUT045
NCU05,1317.0,OUT013
FDT39,2177.0,OUT018
FDK60,1717.0,OUT017
FDZ25,2853.0,OUT017
FDG12,2046.5,OUT046
DRB01,1131.5,OUT019
NCC43,5372.5,OUT027
FDX13,2039.5,OUT019
FDM22,1026.0,OUT049
FDJ03,2303.5,OUT027
FDU14,3677.0,OUT018
FDB33,631.5,OUT010
FDP27,3014.5,OUT046
FDO38,-664.5,OUT010
FDE28,5147.5,OUT027
FDO27,1697.0,OUT035
DRL23,3169.5,OUT027
FDS28,970.5,OUT046
FDX24,1543.0,OUT013
FDZ02,1745.0,OUT035
FDL46,1814.5,OUT045
FDS60,4295.5,OUT027
NCO06,631.0,OUT017
FDO16,1527.0,OUT035
FDC60,1534.0,OUT049
FDA48,3197.0,OUT018
FDZ36,4447.5,OUT027
FDK27,1878.5,OUT045
FDW23,375.0,OUT018
FDM14,1509.0,OUT018
FDM14,1783.0,OUT013
FDW60,2601.0,OUT018
FDE21,1905.0,OUT013
NCM42,1881.0,OUT035
FDY59,-368.5,OUT010
DRI49,1380.0,OUT049
FDT28,511.5,OUT019
FDQ22,409.0,OUT018
FDR60,1332.0,OUT049
FDC50,-392.5,OUT019
FDV24,2451.0,OUT013
DRF48,1031.5,OUT010
FDQ47,642.5,OUT046
DRN36,1664.0,OUT049
NCY06,2173.0,OUT035
FDE52,1659.0,OUT035
NCB54,1936.5,OUT045
NCF31,2547.0,OUT035
FDJ08,4443.5,OUT027
NCC07,1783.0,OUT017
NCD19,2354.5,OUT027
FDL46,2012.0,OUT049
FDM20,3834.5,OUT045
NCI06,921.5,OUT010
DRM11,4221.0,OUT035
NCH07,2203.0,OUT018
FDS23,2075.0,OUT013
FDO49,597.0,OUT018
FDS35,1160.0,OUT049
DRK39,1278.5,OUT045
DRI39,1036.0,OUT049
FDV04,2631.0,OUT017
NCN14,3009.0,OUT035
FDH08,3683.0,OUT013
FDS20,2918.5,OUT046
FDV40,1358.0,OUT049
FDZ48,-136.5,OUT010
FDS24,2909.5,OUT027
FDK44,2858.0,OUT049
FDS48,2344.5,OUT045
FDK26,1107.5,OUT010
FDD23,2970.5,OUT045
NCH54,2631.0,OUT017
NCP14,-248.5,OUT010
FDM60,-1180.5,OUT010
FDV24,2517.0,OUT017
FDH08,3343.0,OUT018
FDS12,3457.5,OUT027
FDR39,4315.5,OUT027
FDP12,2121.5,OUT027
DRF60,5187.5,OUT027
FDC09,1849.0,OUT035
FDF50,2885.0,OUT018
FDG28,4053.0,OUT035
NCE19,977.0,OUT017
NCM53,-196.5,OUT010
NCN18,1846.0,OUT049
FDF32,3317.0,OUT035
FDF11,3867.0,OUT013
DRI59,3664.0,OUT049
NCG54,2811.0,OUT035
FDM44,1646.5,OUT046
FDT57,3465.0,OUT018
FDV24,2426.5,OUT046
FDI50,1771.5,OUT019
FDS09,1033.0,OUT035
NCC31,3891.5,OUT027
FDQ07,1599.5,OUT019
FDC22,3163.0,OUT017
FDZ56,2706.5,OUT046
FDZ40,-1000.5,OUT019
FDS46,3391.5,OUT027
DRD24,2166.5,OUT045
FDV45,3103.0,OUT017
FDL26,2418.5,OUT045
FDA56,1705.0,OUT018
FDN27,1930.5,OUT046
FDM20,3980.0,OUT049
FDO16,1453.0,OUT017
FDL03,3303.0,OUT035
FDE58,1922.5,OUT046
FDI02,3285.5,OUT027
NCC55,-1232.5,OUT019
FDR03,3051.0,OUT018
FDB14,1637.0,OUT017
FDR45,3847.0,OUT013
NCN07,2153.0,OUT017
FDM51,-180.5,OUT019
FDT52,5359.5,OUT027
FDL26,2474.5,OUT046
NCZ42,3772.5,OUT046
DRI47,423.5,OUT019
FDW40,2313.0,OUT013
FDN34,2750.5,OUT046
FDS01,2989.0,OUT035
NCG55,1790.5,OUT045
FDC11,1549.0,OUT035
FDX35,3337.0,OUT018
NCB06,2528.5,OUT046
FDR09,2191.5,OUT019
FDC53,1671.0,OUT017
FDY45,4069.0,OUT013
FDA22,767.5,OUT010
FDE02,1669.0,OUT035
FDW21,1624.5,OUT045
FDV34,1262.5,OUT046
FDS59,1892.0,OUT049
NCW17,2127.0,OUT017
NCK54,1934.5,OUT046
FDG17,2011.5,OUT019
FDG35,2909.0,OUT017
FDD08,-1264.5,OUT010
NCO07,3423.0,OUT017
FDJ10,363.5,OUT010
FDW36,1775.0,OUT017
FDW21,-264.5,OUT010
FDY19,1999.0,OUT017
DRE03,811.0,OUT013
NCC55,734.0,OUT049
FDH52,-816.5,OUT010
FDO09,4307.0,OUT017
FDU43,3764.5,OUT045
FDX09,859.5,OUT010
FDH40,-520.5,OUT019
FDW58,1803.0,OUT017
FDC47,3673.0,OUT017
NCR41,1669.0,OUT035
DRG49,3987.0,OUT035
FDC52,3935.5,OUT027
FDY13,1234.5,OUT046
FDY35,817.0,OUT013
FDI35,2993.0,OUT017
NCU18,2322.0,OUT049
FDY33,2285.0,OUT018
FDC15,3927.5,OUT027
FDU01,3114.0,OUT049
NCU42,2688.5,OUT046
NCV29,2525.0,OUT018
NCY30,2981.0,OUT017
FDQ46,1892.0,OUT049
FDG58,3939.5,OUT027
FDK33,3483.0,OUT017
NCD07,1790.5,OUT045
NCX29,3710.5,OUT027
NCT42,2367.0,OUT013
DRN59,917.0,OUT035
FDI44,1427.0,OUT035
FDA45,2922.0,OUT049
FDP31,1034.5,OUT045
FDY01,1878.5,OUT046
FDT09,1901.0,OUT018
DRH03,2977.5,OUT027
FDA36,2695.0,OUT018
NCF31,2515.0,OUT017
FDG14,2554.0,OUT049
FDG28,5383.5,OUT027
FDU14,4062.0,OUT049
FDY47,247.5,OUT019
FDI56,1546.0,OUT049
DRD01,987.0,OUT013
FDM22,970.5,OUT046
FDH33,733.0,OUT013
DRZ24,1925.0,OUT013
NCQ38,1686.5,OUT046
FDO16,2821.5,OUT027
FDU07,3825.5,OUT027
NCB07,3077.0,OUT013
FDU48,2042.5,OUT045
NCM43,2534.5,OUT045
FDR31,427.5,OUT010
DRK49,419.0,OUT018
NCI30,1919.5,OUT010
DRD60,2965.0,OUT017
NCG19,3684.5,OUT046
FDH12,1825.0,OUT035
FDM32,1653.0,OUT035
FDM27,2655.0,OUT035
NCU53,4063.5,OUT027
NCQ18,1562.5,OUT046
FDS10,2885.0,OUT013
FDB33,3961.5,OUT027
FDI12,1455.0,OUT013
NCW42,3503.0,OUT013
NCC06,1756.0,OUT018
FDW02,2165.0,OUT017
NCD43,1761.0,OUT017
FDM57,1107.0,OUT018
FDA58,3847.0,OUT017
FDK56,2946.5,OUT046
FDP52,3632.5,OUT045
FDW20,1727.0,OUT018
FDS52,1722.0,OUT049
NCT29,1612.0,OUT018
NCL54,2827.0,OUT013
FDC05,3104.5,OUT045
FDF34,3315.0,OUT035
FDP03,3483.5,OUT027
FDD32,-508.5,OUT010
FDZ10,1982.5,OUT045
FDZ40,1043.0,OUT035
FDD51,461.0,OUT018
NCY30,941.5,OUT019
FDP58,3535.0,OUT017
FDV49,4275.0,OUT017
FDY24,-996.5,OUT019
NCO55,1783.0,OUT017
FDR13,2013.0,OUT017
FDS51,1133.0,OUT017
FDP26,1614.5,OUT045
NCB54,3486.5,OUT027
FDF32,3241.0,OUT017
FDN31,2719.0,OUT018
DRM48,691.0,OUT017
FDN20,2802.0,OUT049
DRL01,3722.5,OUT046
FDV56,1874.0,OUT049
DRH13,3173.5,OUT027
FDA03,2475.0,OUT017
FDF47,4987.5,OUT027
FDX32,2382.5,OUT046
FDX57,1708.0,OUT049
NCA30,2918.5,OUT045
FDO49,905.0,OUT013
FDL04,-224.5,OUT019
DRM48,755.0,OUT035
FDR16,3423.0,OUT013
NCC19,2742.0,OUT018
NCE42,3646.5,OUT045
FDY24,1041.0,OUT017
FDH19,2890.0,OUT049
FDJ46,2801.0,OUT013
FDN45,1615.5,OUT010
FDY08,2387.0,OUT035
FDZ37,1615.0,OUT035
NCT30,686.5,OUT045
DRY23,445.0,OUT018
NCZ30,1652.0,OUT018
FDC44,1525.0,OUT018
FDB45,1839.0,OUT035
FDY04,2669.0,OUT013
FDM27,2562.5,OUT046
FDZ43,3955.0,OUT017
FDT39,559.5,OUT019
NCC06,113.5,OUT019
FDL15,3895.5,OUT027
FDL57,4201.0,OUT017
FDU08,1614.5,OUT046
FDK40,4299.0,OUT017
FDQ12,1711.5,OUT010
FDS48,2527.0,OUT017
FDP09,3292.5,OUT045
FDW21,1762.0,OUT049
FDY25,3041.0,OUT035
DRE13,1475.0,OUT017
FDV43,-1180.5,OUT019
FDD22,1716.5,OUT045
FDM46,-448.5,OUT019
NCO30,1017.5,OUT010
FDM25,2810.5,OUT046
NCN41,2034.0,OUT049
FDU24,1478.5,OUT045
FDZ50,2962.5,OUT046
FDP45,4043.0,OUT013
NCM54,1928.5,OUT045
FDW10,903.5,OUT019
FDP20,2155.0,OUT017
FDK32,2470.5,OUT046
FDN52,1540.0,OUT049
FDM58,1764.5,OUT045
FDZ46,3231.5,OUT027
NCA18,1572.0,OUT018
FDD35,1986.5,OUT046
NCK31,945.0,OUT035
FDI40,3093.5,OUT027
FDT50,-292.5,OUT019
NCT06,2614.5,OUT046
FDT31,3133.0,OUT035
FDT45,988.0,OUT049
FDT13,2918.5,OUT045
FDO50,1418.5,OUT045
NCU18,301.5,OUT010
NCR54,3160.0,OUT049
NCO18,2528.0,OUT018
FDU09,902.5,OUT045
FDT13,2715.0,OUT018
FDE09,1822.5,OUT046
NCK53,-280.5,OUT019
FDG45,3466.0,OUT049
DRH15,883.0,OUT035
FDO21,1707.5,OUT019
FDD14,4343.5,OUT027
FDC09,1714.5,OUT046
FDH45,2207.5,OUT027
FDV32,1070.5,OUT046
FDG12,2135.0,OUT035
FDS32,2315.0,OUT013
NCL55,3674.0,OUT018
DRE01,3949.0,OUT035
DRE15,1358.0,OUT049
NCL42,3814.5,OUT045
FDP31,1103.0,OUT013
FDN33,1265.0,OUT018
FDZ59,2654.5,OUT046
FDE45,931.5,OUT010
FDJ07,1943.0,OUT013
FDQ45,2717.0,OUT018
FDM33,4915.5,OUT027
FDO15,-620.5,OUT010
FDM46,1493.0,OUT013
FDR03,3260.5,OUT045
FDY49,2421.0,OUT018
FDQ60,1864.5,OUT045
FDW10,2898.0,OUT049
FDO51,900.0,OUT049
FDJ40,1521.0,OUT018
FDS20,2621.0,OUT018
FDU45,1875.0,OUT013
FDV02,2843.0,OUT035
FDN09,3850.5,OUT046
NCM55,4379.5,OUT027
FDN23,2071.0,OUT018
FDY31,399.5,OUT010
FDW03,-152.5,OUT010
FDD14,2890.5,OUT046
FDV23,2107.0,OUT017
DRI03,2726.5,OUT045
FDN13,1725.0,OUT035
FDF45,2495.5,OUT027
FDU46,1615.0,OUT035
FDB57,3666.0,OUT049
FDV12,1750.0,OUT049
FDQ58,2471.0,OUT013
NCA18,1931.0,OUT017
FDH52,1156.0,OUT049
FDM24,2157.0,OUT018
NCP43,4301.5,OUT027
NCO18,885.5,OUT019
FDM32,1601.0,OUT017
NCL07,733.0,OUT017
FDK03,4061.0,OUT013
FDP59,1785.0,OUT017
FDQ24,4056.0,OUT049
FDQ16,1489.0,OUT018
FDU44,2623.0,OUT013
FDH28,-1228.5,OUT010
FDV28,-1264.5,OUT019
FDM22,874.5,OUT045
FDR56,3146.5,OUT046
FDV39,3242.0,OUT049
FDU37,-552.5,OUT019
FDQ11,2139.5,OUT010
FDX02,3472.5,OUT045
NCS42,1186.0,OUT018
FDY57,3011.5,OUT027
FDB21,3902.0,OUT049
FDE28,3765.0,OUT017
FDQ55,1977.0,OUT017
FDA48,3608.0,OUT049
FDZ19,2692.5,OUT045
NCC43,3884.5,OUT045
NCV18,1298.5,OUT046
NCA42,2249.0,OUT018
FDY45,4082.5,OUT046
NCC30,2750.5,OUT045
FDM57,1447.0,OUT013
FDL09,747.5,OUT010
FDB09,3443.5,OUT027
FDT44,2045.0,OUT035
NCT06,4045.5,OUT027
FDX26,3002.0,OUT049
FDK32,2517.0,OUT013
DRA12,2298.5,OUT046
FDO46,1139.5,OUT010
FDE52,1495.0,OUT013
NCH42,3542.5,OUT045
FDV08,889.0,OUT035
FDB47,3053.0,OUT018
FDC28,-104.5,OUT010
FDD22,1826.5,OUT046
FDS07,3305.5,OUT027
DRI13,3366.5,OUT045
FDG32,3221.0,OUT018
FDU14,4065.0,OUT017
FDD28,-888.5,OUT019
NCP41,1839.0,OUT017
FDS08,2870.0,OUT049
FDX47,2480.5,OUT045
FDC53,-260.5,OUT019
FDQ19,4011.0,OUT035
FDL14,2440.5,OUT045
FDM33,1607.5,OUT019
FDA51,1770.5,OUT045
FDZ27,561.0,OUT018
FDT04,714.5,OUT046
DRC13,2144.0,OUT049
FDR16,4881.5,OUT027
FDQ03,5227.5,OUT027
FDE38,2813.0,OUT035
DRH23,2355.5,OUT027
FDT11,1127.5,OUT019
FDD09,3015.0,OUT035
FDR40,1322.5,OUT045
FDX07,3089.0,OUT017
FDR07,1703.0,OUT035
FDA51,1953.0,OUT017
FDT59,1767.5,OUT019
FDF20,3193.0,OUT017
FDR13,1818.5,OUT045
FDY26,3474.0,OUT049
FDW04,2233.0,OUT017
FDK52,3693.0,OUT017
FDN60,2590.0,OUT049
FDM09,843.5,OUT019
FDP46,1534.0,OUT049
FDB50,-644.5,OUT019
NCQ29,4142.0,OUT049
FDP16,5329.5,OUT027
FDX33,2317.0,OUT018
FDP07,1147.5,OUT010
FDN22,4014.5,OUT046
FDF39,4282.0,OUT049
FDS21,1149.0,OUT017
NCM42,1727.0,OUT013
FDK50,731.5,OUT019
DRF13,3791.5,OUT027
FDH35,2339.0,OUT018
FDP60,1361.0,OUT018
DRJ49,3541.5,OUT027
NCT42,453.5,OUT019
FDE38,2764.0,OUT049
FDI04,3278.0,OUT049
NCH54,2408.5,OUT045
FDT56,1094.0,OUT049
DRD15,3377.0,OUT018
FDV58,3093.0,OUT013
FDP21,3108.0,OUT049
FDH05,3739.0,OUT013
FDR10,4031.5,OUT027
NCP06,2292.5,OUT045
FDF33,1826.0,OUT049
DRK37,3009.0,OUT013
DRH49,1302.5,OUT045
FDT58,2681.0,OUT013
FDD41,1441.0,OUT018
FDP40,1541.0,OUT018
FDM51,3143.5,OUT027
FDO45,-460.5,OUT010
FDW33,-216.5,OUT010
FDY24,858.5,OUT045
FDB10,1851.5,OUT010
FDM40,2389.0,OUT035
NCI06,2939.0,OUT017
FDW12,451.5,OUT019
FDX48,3957.5,OUT027
NCW05,3122.5,OUT027
FDX27,1673.0,OUT017
DRM37,3054.5,OUT045
FDA38,3748.5,OUT045
FDR36,714.5,OUT046
FDZ45,3158.5,OUT046
FDG05,2671.0,OUT017
FDK28,4103.0,OUT013
FDV47,1332.5,OUT045
FDN21,2490.5,OUT045
FDP20,3495.5,OUT027
FDI35,2826.5,OUT045
DRY23,771.0,OUT013
FDA56,2077.0,OUT017
FDB09,1997.0,OUT013
NCO26,3295.5,OUT027
FDQ49,2265.0,OUT018
FDI52,3405.5,OUT027
FDZ44,3331.5,OUT027
FDZ09,2327.0,OUT018
FDY03,1946.0,OUT049
NCG42,2163.0,OUT017
DRI13,4899.5,OUT027
FDQ32,2083.0,OUT013
FDW16,1659.0,OUT035
FDU27,822.5,OUT046
FDR28,731.5,OUT010
FDQ49,659.5,OUT010
FDS37,1878.5,OUT046
FDW26,3235.0,OUT018
FDX12,3601.0,OUT018
NCP06,2405.0,OUT013
FDW45,415.5,OUT010
NCN30,1606.0,OUT049
FDN24,966.0,OUT049
NCL41,1989.5,OUT027
FDR02,-124.5,OUT019
FDD09,987.5,OUT010
FDS33,-512.5,OUT010
FDU22,1848.5,OUT045
FDI53,2641.0,OUT013
DRH01,2864.0,OUT049
FDX32,2347.0,OUT013
NCP30,382.0,OUT018
FDB60,3038.5,OUT045
FDB14,1646.0,OUT049
NCP02,1073.0,OUT035
FDJ10,2357.0,OUT017
FDG34,1838.5,OUT046
NCB18,1495.0,OUT017
FDM16,1360.0,OUT049
FDW25,1091.0,OUT018
FDB35,-404.5,OUT010
DRN11,2277.0,OUT013
FDF41,1987.5,OUT019
FDH16,1362.5,OUT045
NCQ50,3080.0,OUT018
DRH23,631.0,OUT018
DRJ37,2437.0,OUT013
DRJ24,4349.5,OUT027
FDY16,3107.0,OUT035
FDQ27,1676.5,OUT045
FDZ33,2296.5,OUT045
FDF29,2082.5,OUT045
FDA08,2742.0,OUT049
FDG31,1090.5,OUT046
FDE34,967.5,OUT019
NCR30,2624.5,OUT027
FDV33,4271.0,OUT035
DRZ24,1637.0,OUT018
NCL54,2897.0,OUT035
FDR12,2886.0,OUT049
NCC54,3788.5,OUT046
DRN59,791.0,OUT013
FDX50,-132.5,OUT019
FDV31,4277.5,OUT027
NCA29,4173.5,OUT027
FDW60,2960.0,OUT049
FDX08,2999.0,OUT017
DRD49,3727.0,OUT013
FDD33,3670.5,OUT046
FDW35,751.0,OUT013
FDJ36,1781.0,OUT017
FDV51,2797.0,OUT035
FDW36,1722.5,OUT046
FDH35,2646.5,OUT046
NCS30,3511.5,OUT027
FDN49,777.0,OUT017
FDL08,3625.0,OUT018
FDI09,3861.0,OUT013
FDP19,1785.0,OUT018
FDU21,-1312.5,OUT010
NCP41,1642.5,OUT045
FDY10,1837.0,OUT013
FDP12,393.0,OUT018
NCN26,1956.0,OUT049
FDK44,2791.0,OUT013
FDC28,1868.0,OUT049
FDJ41,5603.5,OUT027
NCT29,2093.0,OUT035
NCH42,1687.5,OUT019
FDU60,2429.0,OUT018
FDS02,3032.5,OUT045
FDC51,2042.5,OUT046
FDU03,2967.0,OUT013
FDX39,3326.5,OUT045
NCY05,-1312.5,OUT010
NCL06,5517.5,OUT027
FDD32,1497.0,OUT035
NCN41,1868.5,OUT045
NCX53,2346.0,OUT049
FDU57,515.5,OUT019
FDQ23,1690.5,OUT046
FDQ52,3850.5,OUT045
FDC14,662.5,OUT045
FDY09,2963.0,OUT035
FDQ28,2466.5,OUT045
FDV25,3514.5,OUT046
FDJ07,2027.0,OUT035
DRB25,1784.0,OUT049
FDK52,1679.5,OUT019
FDY52,2509.5,OUT027
FDB28,3134.5,OUT046
FDT36,767.0,OUT035
FDV25,3621.0,OUT017
NCN07,3508.5,OUT027
FDC57,3203.0,OUT017
FDQ03,3509.0,OUT018
FDU23,2773.0,OUT017
NCX41,3499.0,OUT035
NCD06,889.0,OUT035
FDW08,1644.5,OUT045
